"행정구역별","지역구분","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월",
"부산광역시 중구","관심","계(명)","","691723","698039","700769","652607","718144","675701","657775","705386","647479","680047","667337","785048",
"부산광역시 중구","관심","20세미만","","79416","89286","68159","56816","84403","61491","67048","78528","64472","68343","63236","93749",
"부산광역시 중구","관심","20대","","115636","119632","110317","98028","111986","107542","109410","123413","105490","101977","104989","121147",
"부산광역시 중구","관심","30대","","102587","104661","107179","99948","107573","106811","100197","111796","103579","102984","104441","121852",
"부산광역시 중구","관심","40대","","111736","118217","116405","106297","116633","111512","107518","115741","108221","108931","109164","131982",
"부산광역시 중구","관심","50대","","114102","111457","119125","111900","117368","114560","110146","113780","106157","111938","112225","128124",
"부산광역시 중구","관심","60대","","104940","95973","111233","108957","109480","106546","99204","99038","97015","110420","105093","116883",
"부산광역시 중구","관심","70세 이상","","63308","58813","68352","70661","70701","67240","64253","63089","62545","75455","68189","71311",
"부산광역시 서구","감소","계(명)","","465367","496551","465284","477640","511494","498908","476548","512804","494848","490264","475773","481761",
"부산광역시 서구","감소","20세미만","","41927","54138","41128","39336","49347","43846","46932","54955","49760","45636","43010","44426",
"부산광역시 서구","감소","20대","","56242","63150","59024","58830","62971","62054","60151","68557","65522","60251","61078","60943",
"부산광역시 서구","감소","30대","","58187","62983","59310","60655","64972","64751","61805","68975","66937","63180","63075","63812",
"부산광역시 서구","감소","40대","","73872","82199","73131","74143","80761","79473","76422","82762","80465","76059","75110","75528",
"부산광역시 서구","감소","50대","","87441","90361","86560","89111","93847","92640","86195","90191","88664","89754","86815","88302",
"부산광역시 서구","감소","60대","","85976","83988","85128","89855","92817","91357","83892","86067","83155","89685","84571","85839",
"부산광역시 서구","감소","70세 이상","","61723","59733","61003","65710","66780","64786","61151","61298","60346","65698","62114","62910",
"부산광역시 동구","감소","계(명)","","607113","628984","606637","620606","665327","674017","651251","680526","669864","701547","703286","708243",
"부산광역시 동구","감소","20세미만","","54961","65898","39907","38618","49448","48969","54033","61278","53809","49327","49218","54357",
"부산광역시 동구","감소","20대","","94665","101848","89134","86169","93580","98193","109766","126378","104006","105871","109657","112620",
"부산광역시 동구","감소","30대","","91465","93904","96257","99196","103572","109082","102134","110447","113449","115967","118825","118701",
"부산광역시 동구","감소","40대","","98229","104255","99353","101693","107517","109878","104443","107249","111546","112866","113618","112403",
"부산광역시 동구","감소","50대","","112002","112199","115111","118468","123545","124641","116622","116712","120083","127977","127895","128705",
"부산광역시 동구","감소","60대","","96535","93236","103383","107936","113782","112317","100708","98001","102564","115483","113223","112227",
"부산광역시 동구","감소","70세 이상","","59255","57646","63493","68526","73883","70937","63546","60461","64407","74056","70851","69230",
"부산광역시 영도구","감소","계(명)","","413186","453769","431299","419615","474950","456385","431099","483689","458315","435490","414460","438252",
"부산광역시 영도구","감소","20세미만","","48031","61547","42337","42114","56437","44925","48731","61170","56312","51763","44121","49793",
"부산광역시 영도구","감소","20대","","56461","62961","63763","56294","66676","59768","60944","71365","63070","55775","54692","60243",
"부산광역시 영도구","감소","30대","","59022","64390","64678","61872","69093","67651","63645","75046","70072","63435","59699","66631",
"부산광역시 영도구","감소","40대","","68903","79592","70593","66833","77099","75747","72073","82593","78346","70592","67635","72950",
"부산광역시 영도구","감소","50대","","73144","77939","75506","74381","81521","83318","74898","80854","78136","75113","74007","76038",
"부산광역시 영도구","감소","60대","","65733","65658","70119","71295","75536","76970","66950","68931","68385","71544","68745","68014",
"부산광역시 영도구","감소","70세 이상","","41893","41683","44304","46826","48587","48006","43859","43731","43995","47268","45562","44582",
"부산광역시 금정구","관심","계(명)","","782350","861113","842160","828174","907446","826647","790731","797852","865131","836422","847983","828588",
"부산광역시 금정구","관심","20세미만","","85510","108607","92371","88190","109877","87164","89309","87829","102861","90773","91711","90285",
"부산광역시 금정구","관심","20대","","119945","131392","123692","118600","132743","118768","115111","119204","129011","116627","123093","118450",
"부산광역시 금정구","관심","30대","","99508","110927","106550","105881","113830","106085","100099","102978","115988","106290","109423","105142",
"부산광역시 금정구","관심","40대","","120263","138798","131683","128791","140175","128454","121635","123788","140138","130652","131920","127140",
"부산광역시 금정구","관심","50대","","142807","155443","155019","151941","161805","153342","144545","147104","154435","154313","155115","151725",
"부산광역시 금정구","관심","60대","","130992","132199","141655","141935","150174","141832","133362","132141","134932","143079","142712","142502",
"부산광역시 금정구","관심","70세 이상","","83326","83747","91190","92835","98842","91002","86670","84809","87765","94689","94009","93344",
"대구광역시 서구","감소","계(명)","","549229","613853","551967","563386","615741","589495","555070","542247","601603","540921","546212","564244",
"대구광역시 서구","감소","20세미만","","50050","69709","47864","48241","59795","54304","52924","52159","66189","48215","50111","53064",
"대구광역시 서구","감소","20대","","62898","73088","63755","64266","70825","66988","62875","62132","70022","59837","60766","62633",
"대구광역시 서구","감소","30대","","77135","87044","78106","80549","88013","85770","79158","78094","88785","77721","79429","81218",
"대구광역시 서구","감소","40대","","89730","104443","89276","90147","101273","94297","88889","86521","99727","84667","86580","88291",
"대구광역시 서구","감소","50대","","113705","122610","114825","116647","124465","120499","113454","110058","118445","110625","110977","114313",
"대구광역시 서구","감소","60대","","96786","98220","98174","101463","105993","103801","97545","94891","98278","98201","97684","102382",
"대구광역시 서구","감소","70세 이상","","58925","58740","59967","62073","65377","63837","60226","58392","60157","61656","60665","62343",
"대구광역시 남구","감소","계(명)","","593419","634044","603048","613958","628367","609815","599258","599239","626223","599198","586996","608443",
"대구광역시 남구","감소","20세미만","","53737","66072","52753","52509","60081","54616","61372","62496","64102","54811","52535","56091",
"대구광역시 남구","감소","20대","","88254","94737","90469","89353","89707","87153","82997","83716","89025","82802","82902","85724",
"대구광역시 남구","감소","30대","","81886","88198","85416","86900","88038","86139","82472","83132","89538","84078","82958","86781",
"대구광역시 남구","감소","40대","","89986","100413","90977","92803","95782","92438","91709","93451","97612","90863","89311","91772",
"대구광역시 남구","감소","50대","","108924","115623","109554","112351","113552","111359","108142","107727","113510","109678","107343","110725",
"대구광역시 남구","감소","60대","","97386","97458","98916","101854","102291","100835","97239","95537","97585","99341","96725","100265",
"대구광역시 남구","감소","70세 이상","","73247","71543","74964","78188","78916","77275","75328","73179","74851","77625","75223","77086",
"대구광역시 군위군","감소","계(명)","","140315","182651","183277","205180","232023","215867","192712","231456","248848","242520","219389","160411",
"대구광역시 군위군","감소","20세미만","","12842","19925","12538","13705","19197","14785","X","X","X","X","X","X",
"대구광역시 군위군","감소","20대","","10459","16420","11617","12237","15156","14089","13546","19109","19923","14515","15008","11685",
"대구광역시 군위군","감소","30대","","16105","21304","19840","21497","25568","23300","21470","27063","29152","26406","23325","18500",
"대구광역시 군위군","감소","40대","","23127","31221","30984","33564","40268","36946","32182","38991","41408","40969","36358","25795",
"대구광역시 군위군","감소","50대","","34637","44529","49640","55087","60485","58651","49994","57866","62346","62664","58041","39900",
"대구광역시 군위군","감소","60대","","28482","33207","39448","45661","47628","46356","40202","45296","49357","52314","47940","34632",
"대구광역시 군위군","감소","70세 이상","","14663","16046","19211","23429","23720","21739","X","X","X","X","X","X",
"인천광역시 동구","관심","계(명)","","223889","239195","223873","213870","230989","219073","216428","217555","238930","227757","223798","222219",
"인천광역시 동구","관심","20세미만","","24504","27888","23642","22448","25870","23538","23427","23847","29018","23480","25333","24575",
"인천광역시 동구","관심","20대","","22698","25361","23120","22082","23473","22292","21486","22227","25845","23511","22807","22848",
