"시군구명","연월","분류","성별","연령대","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"거제시","202401","교육","남성","20대","884","15002742","20240101","20241231"
"거제시","202401","교육","남성","20대미만","41","293352","20240101","20241231"
"거제시","202401","교육","남성","30대","3276","60628307","20240101","20241231"
"거제시","202401","교육","남성","40대","11083","441660521","20240101","20241231"
"거제시","202401","교육","남성","50대","1631","64138040","20240101","20241231"
"거제시","202401","교육","남성","60대","425","5896162","20240101","20241231"
"거제시","202401","교육","여성","20대","754","9856546","20240101","20241231"
"거제시","202401","교육","여성","20대미만","274","1960932","20240101","20241231"
"거제시","202401","교육","여성","30대","3687","62022824","20240101","20241231"
"거제시","202401","교육","여성","40대","6477","200220973","20240101","20241231"
"거제시","202401","교육","여성","50대","637","11019054","20240101","20241231"
"거제시","202401","교육","여성","60대","137","2264907","20240101","20241231"
"거제시","202401","기타","남성","20대","240","6585264","20240101","20241231"
"거제시","202401","기타","남성","30대","2337","83618643","20240101","20241231"
"거제시","202401","기타","남성","40대","5243","152009527","20240101","20241231"
"거제시","202401","기타","남성","50대","3029","73245922","20240101","20241231"
"거제시","202401","기타","남성","60대","1494","63189650","20240101","20241231"
"거제시","202401","기타","여성","20대","48","14708568","20240101","20241231"
"거제시","202401","기타","여성","30대","1988","143316703","20240101","20241231"
"거제시","202401","기타","여성","40대","2090","134191631","20240101","20241231"
"거제시","202401","기타","여성","50대","1899","98796710","20240101","20241231"
"거제시","202401","기타","여성","60대","658","27102947","20240101","20241231"
"거제시","202401","기타","여성","70대이상","123","2728444","20240101","20241231"
"거제시","202401","내구재","남성","20대","631","4136600","20240101","20241231"
"거제시","202401","내구재","남성","30대","1405","15978478","20240101","20241231"
"거제시","202401","내구재","남성","40대","2467","31343797","20240101","20241231"
"거제시","202401","내구재","남성","50대","1535","26949075","20240101","20241231"
"거제시","202401","내구재","남성","60대","487","11061069","20240101","20241231"
"거제시","202401","내구재","남성","70대이상","27","2505826","20240101","20241231"
"거제시","202401","내구재","여성","20대","240","2520905","20240101","20241231"
"거제시","202401","내구재","여성","30대","569","5618232","20240101","20241231"
"거제시","202401","내구재","여성","40대","905","12093557","20240101","20241231"
"거제시","202401","내구재","여성","50대","809","13665387","20240101","20241231"
"거제시","202401","내구재","여성","60대","322","8423578","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","20대","71309","476955449","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","20대미만","15757","61741604","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","30대","13057","229568403","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","40대","21624","582401439","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","50대","14681","470985812","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","60대","4051","187537526","20240101","20241231"
"거제시","202401","레포츠/문화/취미","남성","70대이상","103","1624400","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","20대","2337","19206648","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","20대미만","1912","8458328","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","30대","2241","41610041","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","40대","4969","166638691","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","50대","2063","98689513","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","60대","624","68979438","20240101","20241231"
"거제시","202401","레포츠/문화/취미","여성","70대이상","48","2422892","20240101","20241231"
"거제시","202401","서비스","남성","20대","6429","18677862","20240101","20241231"
"거제시","202401","서비스","남성","20대미만","110","263879","20240101","20241231"
"거제시","202401","서비스","남성","30대","1426","31550171","20240101","20241231"
"거제시","202401","서비스","남성","40대","2036","110759082","20240101","20241231"
