"시군구명","시간대","분류","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 의창구","0","교육","62 ","8211103 ","20240101","20241231"
"창원시 의창구","0","내구재","1172 ","1360864 ","20240101","20241231"
"창원시 의창구","0","레포츠/문화/취미","41857 ","251171289 ","20240101","20241231"
"창원시 의창구","0","서비스","3982 ","19030877 ","20240101","20241231"
"창원시 의창구","0","식생활","92981 ","4495783283 ","20240101","20241231"
"창원시 의창구","0","여행","905 ","44978753 ","20240101","20241231"
"창원시 의창구","0","유통","266875 ","2135738245 ","20240101","20241231"
"창원시 의창구","0","유흥","22831 ","2439179136 ","20240101","20241231"
"창원시 의창구","0","의료/미용","960 ","155649205 ","20240101","20241231"
"창원시 의창구","0","자동차","576 ","14829342 ","20240101","20241231"
"창원시 의창구","1","내구재","439 ","1481426 ","20240101","20241231"
"창원시 의창구","1","레포츠/문화/취미","27114 ","156389308 ","20240101","20241231"
"창원시 의창구","1","서비스","2207 ","9918780 ","20240101","20241231"
"창원시 의창구","1","식생활","47999 ","2226450254 ","20240101","20241231"
"창원시 의창구","1","여행","672 ","33150788 ","20240101","20241231"
"창원시 의창구","1","유통","160212 ","1252026388 ","20240101","20241231"
"창원시 의창구","1","유흥","15038 ","1733813639 ","20240101","20241231"
"창원시 의창구","1","의료/미용","308 ","24216107 ","20240101","20241231"
"창원시 의창구","1","자동차","103 ","1958506 ","20240101","20241231"
"창원시 의창구","2","내구재","432 ","1275188 ","20240101","20241231"
"창원시 의창구","2","레포츠/문화/취미","17094 ","97849219 ","20240101","20241231"
"창원시 의창구","2","서비스","1076 ","6730912 ","20240101","20241231"
"창원시 의창구","2","식생활","24435 ","1064246792 ","20240101","20241231"
"창원시 의창구","2","여행","411 ","21812886 ","20240101","20241231"
"창원시 의창구","2","유통","111049 ","885094037 ","20240101","20241231"
"창원시 의창구","2","유흥","9671 ","1143566827 ","20240101","20241231"
"창원시 의창구","2","의료/미용","212 ","17768060 ","20240101","20241231"
"창원시 의창구","2","자동차","21 ","1096642 ","20240101","20241231"
"창원시 의창구","3","내구재","110 ","100822 ","20240101","20241231"
"창원시 의창구","3","레포츠/문화/취미","8979 ","51688143 ","20240101","20241231"
"창원시 의창구","3","서비스","267 ","2037012 ","20240101","20241231"
"창원시 의창구","3","식생활","11604 ","458445785 ","20240101","20241231"
"창원시 의창구","3","여행","240 ","11487320 ","20240101","20241231"
"창원시 의창구","3","유통","75291 ","571022008 ","20240101","20241231"
"창원시 의창구","3","유흥","4606 ","564387252 ","20240101","20241231"
"창원시 의창구","3","의료/미용","103 ","14571761 ","20240101","20241231"
"창원시 의창구","3","자동차","41 ","2317382 ","20240101","20241231"
"창원시 의창구","4","내구재","192 ","228239 ","20240101","20241231"
"창원시 의창구","4","레포츠/문화/취미","4202 ","23270048 ","20240101","20241231"
"창원시 의창구","4","서비스","206 ","3288245 ","20240101","20241231"
"창원시 의창구","4","식생활","5031 ","194004318 ","20240101","20241231"
"창원시 의창구","4","여행","82 ","3564085 ","20240101","20241231"
"창원시 의창구","4","유통","64071 ","521101727 ","20240101","20241231"
"창원시 의창구","4","유흥","1981 ","265087731 ","20240101","20241231"
"창원시 의창구","4","의료/미용","144 ","9044071 ","20240101","20241231"
"창원시 의창구","4","자동차","103 ","5503441 ","20240101","20241231"
"창원시 의창구","5","교육","41 ","10749369 ","20240101","20241231"
"창원시 의창구","5","내구재","75 ","39479 ","20240101","20241231"
"창원시 의창구","5","레포츠/문화/취미","2337 ","66446881 ","20240101","20241231"
"창원시 의창구","5","서비스","192 ","477039 ","20240101","20241231"
"창원시 의창구","5","식생활","4373 ","111596642 ","20240101","20241231"
"창원시 의창구","5","여행","69 ","1692940 ","20240101","20241231"
"창원시 의창구","5","유통","121110 ","1125183694 ","20240101","20241231"
"창원시 의창구","5","유흥","548 ","68688828 ","20240101","20241231"
"창원시 의창구","5","의료/미용","2467 ","45438992 ","20240101","20241231"
"창원시 의창구","5","자동차","14524 ","871114620 ","20240101","20241231"
"창원시 의창구","5","주거생활","41 ","1558191 ","20240101","20241231"
"창원시 의창구","6","기타","41 ","14790953 ","20240101","20241231"
"창원시 의창구","6","내구재","96 ","59082 ","20240101","20241231"
"창원시 의창구","6","레포츠/문화/취미","7108 ","872707334 ","20240101","20241231"
"창원시 의창구","6","서비스","226 ","277005 ","20240101","20241231"
"창원시 의창구","6","식생활","16785 ","314979143 ","20240101","20241231"
"창원시 의창구","6","여행","41 ","699109 ","20240101","20241231"
"창원시 의창구","6","유통","282118 ","2420230980 ","20240101","20241231"
"창원시 의창구","6","유흥","123 ","27749143 ","20240101","20241231"
"창원시 의창구","6","의료/미용","4517 ","142913626 ","20240101","20241231"
"창원시 의창구","6","자동차","72495 ","4264125709 ","20240101","20241231"
"창원시 의창구","6","주거생활","1001 ","50880192 ","20240101","20241231"
"창원시 의창구","7","교육","89 ","17868403 ","20240101","20241231"
"창원시 의창구","7","기타","144 ","30102831 ","20240101","20241231"
"창원시 의창구","7","내구재","336 ","3256408 ","20240101","20241231"
"창원시 의창구","7","레포츠/문화/취미","7039 ","946783962 ","20240101","20241231"
"창원시 의창구","7","서비스","521 ","2384064 ","20240101","20241231"
"창원시 의창구","7","식생활","88698 ","822876587 ","20240101","20241231"
