"시군구명","연월","분류","유입지","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 의창구","202401","교육","경기","21 ","1021247 ","20240101","20241231"
"창원시 의창구","202401","교육","경남","26587 ","2814543708 ","20240101","20241231"
"창원시 의창구","202401","교육","부산","62 ","5243317 ","20240101","20241231"
"창원시 의창구","202401","기타","경기","41 ","4805620 ","20240101","20241231"
"창원시 의창구","202401","기타","경남","16936 ","1156046566 ","20240101","20241231"
"창원시 의창구","202401","기타","부산","48 ","3620219 ","20240101","20241231"
"창원시 의창구","202401","기타","서울","411 ","16331789 ","20240101","20241231"
"창원시 의창구","202401","내구재","강원","21 ","618232 ","20240101","20241231"
"창원시 의창구","202401","내구재","경기","34 ","27416 ","20240101","20241231"
"창원시 의창구","202401","내구재","경남","8472 ","719221522 ","20240101","20241231"
"창원시 의창구","202401","내구재","경북","27 ","1714 ","20240101","20241231"
"창원시 의창구","202401","내구재","대구","75 ","614462 ","20240101","20241231"
"창원시 의창구","202401","내구재","부산","932 ","1681151 ","20240101","20241231"
"창원시 의창구","202401","내구재","서울","21 ","8910 ","20240101","20241231"
"창원시 의창구","202401","내구재","세종","21 ","8225 ","20240101","20241231"
"창원시 의창구","202401","내구재","울산","89 ","30706 ","20240101","20241231"
"창원시 의창구","202401","내구재","인천","62 ","536875 ","20240101","20241231"
"창원시 의창구","202401","내구재","전남","21 ","2879 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","강원","96 ","792324 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","경기","1145 ","7696367 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","경남","93989 ","1614482282 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","경북","1823 ","176400960 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","대구","562 ","4894448 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","대전","123 ","538040 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","부산","1131 ","9276217 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","서울","576 ","5305003 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","울산","288 ","1841672 ","20240101","20241231"
"창원시 의창구","202401","레포츠/문화/취미","인천","226 ","2180946 ","20240101","20241231"
