상권업종대분류명,상권업종중분류명,시군구명,행정동명,경도,위도
숙박,일반 숙박,함양군,함양읍,127.729436134753,35.5193585630374
음식,한식,사천시,곤명면,127.926510942538,35.0832461055001
음식,비알코올 ,통영시,정량동,128.440928220962,34.8438256347731
음식,비알코올 ,남해군,삼동면,128.036352676586,34.8193551792901
소매,섬유·의복·신발 소매,함안군,가야읍,128.406180153408,35.2768924947714
수리·개인,장례식장 ,사천시,남양동,128.056499022317,34.9742133149767
보건의료,의원,창녕군,영산면,128.52714808118,35.4566704951184
수리·개인,장례식장 ,하동군,금남면,127.810354628994,34.9962688095375
소매,철물·건설자재 소매,합천군,묘산면,128.11240669242,35.6580014487035
과학·기술,법무관련 ,통영시,용남면,128.443523689934,34.8641102719644
소매,섬유·의복·신발 소매,의령군,부림면,128.323875585907,35.4670383179988
음식,한식,함안군,함안면,128.422727149128,35.2420639056272
과학·기술,인쇄·제품제작,산청군,산청읍,127.877412396579,35.4128691888566
수리·개인,이용·미용,밀양시,삼문동,128.747049090754,35.4835975849607
음식,한식,산청군,신안면,127.969843138889,35.3011687760745
수리·개인,이용·미용,거창군,거창읍,127.914029322936,35.6868161738254
수리·개인,이용·미용,의령군,의령읍,128.26186332466,35.3193204934769
숙박,일반 숙박,남해군,남면,127.899882122218,34.7569031459323
수리·개인,가전제품 수리,통영시,용남면,128.449824222164,34.8853961447309
숙박,일반 숙박,밀양시,단장면,128.885074806623,35.5126454903392
음식,비알코올 ,밀양시,삼랑진읍,128.840341246111,35.3996458473599
음식,서양식,통영시,광도면,128.422340160461,34.8849277218542
숙박,일반 숙박,남해군,삼동면,128.048022678357,34.8234375085633
음식,비알코올 ,합천군,용주면,128.112749428372,35.5400621796921
소매,섬유·의복·신발 소매,통영시,중앙동,128.421911804437,34.8422648720069
음식,한식,하동군,진교면,127.90382038805,35.0271739413573
소매,종합 소매,고성군,하일면,128.199732921228,34.9400654255351
소매,안경·정밀기기 소매,창녕군,창녕읍,128.495278228011,35.5426302486779
음식,한식,남해군,상주면,127.985607184058,34.7211669199312
수리·개인,욕탕·신체관리,함안군,칠서면,128.506153593692,35.3151720323403
소매,식료품 소매,통영시,북신동,128.427509551969,34.8555837191691
수리·개인,이용·미용,밀양시,하남읍,128.710494126107,35.3733475432479
숙박,일반 숙박,남해군,창선면,128.024800592717,34.8811327752453
소매,가전·통신 소매,사천시,사천읍,128.083702153935,35.0815105227328
과학·기술,기술 서비스,하동군,진교면,127.920985070663,35.0422955223107
소매,연료 소매,밀양시,상남면,128.755224201966,35.4044816943422
과학·기술,법무관련 ,창녕군,창녕읍,128.492432059942,35.5437469563662
소매,식료품 소매,창녕군,창녕읍,128.49765766849,35.5419158017866
소매,연료 소매,통영시,무전동,128.438056296278,34.8553242475667
소매,의약·화장품 소매,산청군,시천면,127.840841996331,35.2772944716343
소매,종합 소매,창녕군,창녕읍,128.550780079419,35.5194713235402
음식,주점,통영시,봉평동,128.433554569278,34.8290231548216
수리·개인,세탁,사천시,동서동,128.068814742792,34.9292640500284
음식,한식,의령군,정곡면,128.325878993544,35.3802809473309
소매,기타 상품 소매,사천시,사천읍,128.080323137768,35.0713828293731
음식,한식,의령군,의령읍,128.260847662989,35.3211876913382
소매,섬유·의복·신발 소매,밀양시,내일동,128.752330837899,35.4939385304815
소매,기타 상품 소매,창녕군,부곡면,128.60355773087,35.434564317667
예술·스포츠,유원지·오락,통영시,봉평동,128.424162412331,34.8244106123908
음식,주점,통영시,북신동,128.427801377675,34.8534892600732
소매,연료 소매,창녕군,창녕읍,128.499606352998,35.5417563997801
소매,철물·건설자재 소매,의령군,의령읍,128.25925775661,35.3193566733663
음식,한식,합천군,초계면,128.262296901233,35.5587499088661
소매,식료품 소매,하동군,하동읍,127.76055619413,35.0715383618959
부동산,부동산 서비스,통영시,광도면,128.418694867947,34.8847540106702
음식,비알코올 ,남해군,남면,127.894490920702,34.7268907613605
음식,한식,함양군,안의면,127.795894339509,35.6324802482125
과학·기술,법무관련 ,남해군,남해읍,127.894073029059,34.8400076285456
수리·개인,이용·미용,함안군,칠원읍,128.518033657319,35.3060291551698
음식,한식,밀양시,하남읍,128.709623566173,35.3758922223919
수리·개인,이용·미용,통영시,봉평동,128.414477414629,34.8313735929148
음식,한식,사천시,사남면,128.080219066466,35.0618207656055
음식,한식,함안군,칠원읍,128.52000936624,35.3099697517566
소매,철물·건설자재 소매,함안군,가야읍,128.404740142588,35.2775130654082
음식,한식,창녕군,고암면,128.5722671915,35.552393033924
수리·개인,이용·미용,거창군,거창읍,127.903618383458,35.6805229690842
과학·기술,기술 서비스,사천시,용현면,128.060501813111,35.0026965607891
음식,한식,거창군,거창읍,127.911885439032,35.6789825921701
음식,한식,함양군,서상면,127.68787391722,35.6804168389949
소매,연료 소매,밀양시,삼문동,128.757425884666,35.485528575278
음식,한식,밀양시,삼랑진읍,128.838662102885,35.3969498917599
숙박,일반 숙박,합천군,대병면,128.018718132555,35.5211827394422
음식,주점,산청군,삼장면,127.768732186202,35.372898226753
소매,철물·건설자재 소매,밀양시,내이동,128.742422404821,35.4994530504691
음식,한식,통영시,명정동,128.420452074228,34.8419304193871
소매,식물 소매,하동군,금남면,127.894517560912,34.9778671853868
음식,한식,남해군,남해읍,127.894559342354,34.8455474683558
음식,한식,하동군,청암면,127.710592462449,35.2415991236595
음식,한식,고성군,고성읍,128.322275949778,34.9760623114089
음식,한식,사천시,용현면,128.060660244158,35.0098787708413
음식,기타 간이,창녕군,영산면,128.5267055601,35.4565679486047
소매,철물·건설자재 소매,산청군,신안면,127.971846265557,35.3031896217514
음식,한식,합천군,합천읍,128.162481545579,35.5684867494067
